ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
Eastern Cape,July,2018,43,44,Spouses-1 younger
Gauteng,January,2018,43,39,Spouses-1 older
Gauteng,January,2018,37,32,Spouses-1 older
Gauteng,February,2018,32,31,Spouses-1 older
Gauteng,March,2018,39,37,Spouses-1 older
Gauteng,March,2018,37,46,Spouses-1 younger
Gauteng,April,2018,23,28,Spouses-1 younger
Gauteng,April,2018,43,49,Spouses-1 younger
Gauteng,May,2018,54,25,Spouses-1 older
Gauteng,June,2018,33,35,Spouses-1 younger
Gauteng,June,2018,29,29,Spouses same age
Gauteng,July,2018,31,32,Spouses-1 younger
Gauteng,August,2018,27,29,Spouses-1 younger
Gauteng,August,2018,30,31,Spouses-1 younger
Gauteng,August,2018,40,40,Spouses same age
Gauteng,August,2018,40,35,Spouses-1 older
Gauteng,March,2018,35,30,Spouses-1 older
Gauteng,August,2018,35,32,Spouses-1 older
Gauteng,September,2018,50,43,Spouses-1 older
Gauteng,September,2018,49,31,Spouses-1 older
Gauteng,September,2018,33,51,Spouses-1 younger
KwaZulu-Natal,February,2018,32,28,Spouses-1 older
KwaZulu-Natal,June,2018,70,68,Spouses-1 older
KwaZulu-Natal,September,2018,40,24,Spouses-1 older
KwaZulu-Natal,September,2018,47,42,Spouses-1 older
KwaZulu-Natal,December,2018,22,21,Spouses-1 older
KwaZulu-Natal,December,2018,56,47,Spouses-1 older
KwaZulu-Natal,December,2018,35,37,Spouses-1 younger
KwaZulu-Natal,December,2018,60,58,Spouses-1 older
KwaZulu-Natal,December,2018,29,29,Spouses same age
KwaZulu-Natal,December,2018,44,42,Spouses-1 older
KwaZulu-Natal,December,2018,51,51,Spouses same age
KwaZulu-Natal,January,2018,29,28,Spouses-1 older
KwaZulu-Natal,January,2018,62,36,Spouses-1 older
KwaZulu-Natal,January,2018,32,30,Spouses-1 older
KwaZulu-Natal,January,2018,35,50,Spouses-1 younger
KwaZulu-Natal,January,2018,53,46,Spouses-1 older
KwaZulu-Natal,January,2018,35,32,Spouses-1 older
KwaZulu-Natal,January,2018,25,25,Spouses same age
KwaZulu-Natal,February,2018,49,37,Spouses-1 older
KwaZulu-Natal,February,2018,34,32,Spouses-1 older
KwaZulu-Natal,February,2018,69,57,Spouses-1 older
KwaZulu-Natal,February,2018,43,41,Spouses-1 older
KwaZulu-Natal,February,2018,36,21,Spouses-1 older
KwaZulu-Natal,February,2018,78,74,Spouses-1 older
KwaZulu-Natal,February,2018,33,30,Spouses-1 older
KwaZulu-Natal,February,2018,31,27,Spouses-1 older
KwaZulu-Natal,February,2018,56,51,Spouses-1 older
