ProvinceCode,MarriageYear,RegistrationYear,BridegroomAge,BrideAge,AgeDiff
Unspecified,2014,2018,35,34,Bridegroom older
Unspecified,1977,2018,33,24,Bridegroom older
Gauteng,2011,2018,45,39,Bridegroom older
Limpopo,2014,2018,47,45,Bridegroom older
Limpopo,2015,2018,40,40,Spouses same age
Mpumalanga,2014,2018,33,27,Bridegroom older
Mpumalanga,1976,2018,17,11,Bridegroom older
Mpumalanga,1990,2018,21,16,Bridegroom older
Gauteng,2015,2018,46,43,Bridegroom older
Gauteng,1987,2018,36,28,Bridegroom older
Gauteng,2010,2018,49,47,Bridegroom older
Gauteng,2013,2018,44,26,Bridegroom older
KwaZulu-Natal,1995,2018,44,31,Bridegroom older
Eastern Cape,1958,2018,32,17,Bridegroom older
Eastern Cape,1988,2018,24,17,Bridegroom older
Mpumalanga,2015,2018,57,45,Bridegroom older
KwaZulu-Natal,2018,2018,33,27,Bridegroom older
KwaZulu-Natal,2018,2018,46,41,Bridegroom older
KwaZulu-Natal,2018,2018,45,35,Bridegroom older
KwaZulu-Natal,2018,2018,36,29,Bridegroom older
KwaZulu-Natal,2018,2018,35,31,Bridegroom older
KwaZulu-Natal,2018,2018,34,34,Spouses same age
KwaZulu-Natal,2018,2018,34,23,Bridegroom older
KwaZulu-Natal,2018,2018,29,28,Bridegroom older
KwaZulu-Natal,2018,2018,29,21,Bridegroom older
KwaZulu-Natal,2018,2018,64,51,Bridegroom older
Limpopo,1981,2018,29,26,Bridegroom older
Limpopo,2009,2018,52,29,Bridegroom older
Mpumalanga,2014,2018,43,21,Bridegroom older
Unspecified,1994,2018,30,23,Bridegroom older
KwaZulu-Natal,1968,2018,34,22,Bridegroom older
Unknown,1949,2018,39,23,Bridegroom older
Limpopo,2017,2018,34,26,Bridegroom older
Outside RSA,1989,2018,31,24,Bridegroom older
KwaZulu-Natal,1971,2018,30,21,Bridegroom older
KwaZulu-Natal,1971,2018,29,21,Bridegroom older
KwaZulu-Natal,1987,2018,41,33,Bridegroom older
KwaZulu-Natal,1985,2018,29,24,Bridegroom older
KwaZulu-Natal,1990,2018,31,24,Bridegroom older
KwaZulu-Natal,1986,2018,27,21,Bridegroom older
KwaZulu-Natal,1985,2018,25,22,Bridegroom older
KwaZulu-Natal,1990,2018,30,25,Bridegroom older
KwaZulu-Natal,2018,2018,52,44,Bridegroom older
Mpumalanga,2018,2018,59,40,Bridegroom older
Eastern Cape,1982,2018,30,17,Bridegroom older
Eastern Cape,2009,2018,30,24,Bridegroom older
KwaZulu-Natal,1966,2018,23,18,Bridegroom older
Gauteng,1992,2018,38,38,Spouses same age
Mpumalanga,2011,2018,31,27,Bridegroom older
Northern Cape,2015,2018,56,42,Bridegroom older
Eastern Cape,2001,2018,32,25,Bridegroom older
Mpumalanga,1997,2018,34,30,Bridegroom older
Limpopo,2018,2018,31,27,Bridegroom older
Mpumalanga,1983,2018,18,21,Bridegroom younger
Mpumalanga,2013,2018,37,39,Bridegroom younger
KwaZulu-Natal,1971,2018,31,27,Bridegroom older
KwaZulu-Natal,1972,2018,32,18,Bridegroom older
KwaZulu-Natal,1975,2018,26,21,Bridegroom older
KwaZulu-Natal,1976,2018,26,21,Bridegroom older
KwaZulu-Natal,1983,2018,31,23,Bridegroom older
KwaZulu-Natal,1976,2018,22,18,Bridegroom older
KwaZulu-Natal,1984,2018,28,27,Bridegroom older
KwaZulu-Natal,1992,2018,36,34,Bridegroom older
KwaZulu-Natal,1981,2018,24,21,Bridegroom older
KwaZulu-Natal,1980,2018,22,18,Bridegroom older
KwaZulu-Natal,1982,2018,21,19,Bridegroom older
KwaZulu-Natal,1971,2018,10,21,Bridegroom younger
KwaZulu-Natal,1994,2018,30,28,Bridegroom older
KwaZulu-Natal,1991,2018,24,22,Bridegroom older
